id,ACTION
1,0.7366201816530187
2,0.9621490581272141
3,0.976900623783712
4,0.9424307226648678
5,0.9485612329655351
6,0.9900370798146221
7,0.9534737420162652
8,0.9950909619910175
9,0.6791260676837173
10,0.8965492839102953
11,0.8352455604353517
12,0.9180594791583663
13,0.8177354854246123
14,0.5913489354227852
15,0.9772507746606076
16,0.7962255348204417
17,0.8828326139613512
18,0.9666935554699456
19,0.8686694786804412
20,0.8931587759219004
21,0.9744003409255688
22,0.9951010700208675
23,0.9872388616372274
24,0.8483920542613421
25,0.5323733769582634
26,0.6163374798872121
27,0.9986129118258719
28,0.9129189747659506
29,0.988514133365215
30,0.9607846582796895
31,0.9388971004985311
32,0.9927774773162984
33,0.9206909266347356
34,0.9721713102073829
35,0.9662084848668526
36,0.9975403878030211
37,0.9825862001822384
38,0.7976700671731985
39,0.5587415952175422
40,0.7712166517123132
41,0.8829341452545736
42,0.6511126814136289
43,0.6250362186953586
44,0.9168851422759526
45,0.9552433513511595
46,0.6770088728028545
47,0.9822745091321071
48,0.6368451899770258
49,0.014042731364542182
50,0.8988716463901323
51,0.916445054702715
52,0.9258818790015174
53,0.9360904347245952
54,0.9999999999999996
55,0.830730568772686
56,0.8702475951138865
57,0.9776378230177459
58,0.9583456876217853
59,0.9407629700745017
60,0.9762822996627538
61,0.9726545389292449
62,0.9215453408079984
63,0.748805310351506
64,0.9790724757591983
65,0.9799126061133574
66,0.9931526891160775
67,0.9034208154881392
68,0.9990597167167206
69,0.9642501542439266
70,0.6298955257803279
71,0.9674043663110009
72,0.8155560103402618
73,0.872019609414238
74,0.961215417381195
75,0.9520163461582845
76,0.9877586775983077
77,0.9814425548516751
78,0.9198510632371865
79,0.9585758648127334
80,0.9126219786071603
81,0.9990493779009769
82,0.9280662299794011
83,0.9962001389859528
84,0.9233338120685478
85,0.9784474826536707
86,0.779416508988215
87,0.8748461329428681
88,0.9353035631037578
89,0.9799796564530444
90,0.9807921853598238
91,0.9961088212450744
92,0.943501452781013
93,0.9885577297034993
